iteration,timestamp,function_value,gradient_norm,gradient_cosine_similarity,gradient_angle,x1,x2
0,0.00015616416931152344,-0.7370332576287874,1.8689039035624195,0.0,0.0,2.1378233432005,0.0774165178031552
1,0.0006127357482910156,-0.698367045167791,2.2548247080458093,1.0,0.0,2.119134304164876,0.0774165178031552
2,0.0019240379333496094,-0.5979996490284947,2.7769965743896514,1.0,0.0,2.079765921952356,0.0774165178031552
3,0.0023348331451416016,-0.41619084147181906,2.8320768934349303,1.0,0.0,2.0165644122171913,0.0774165178031552
4,0.005162954330444336,-0.2071507863362062,1.976912314348302,1.0,0.0,1.931362284521194,0.0774165178031552
5,0.005695343017578125,-0.07158108093851216,0.8922443566125241,1.0,0.0,1.8349112464513133,0.0774165178031552
6,0.005880117416381836,-0.018991543534166957,0.28944168215081173,1.0,0.0,1.7391828686222957,0.0774165178031552
7,0.006059169769287109,-0.004367744229994108,0.07758575123828,1.0,0.0,1.6501329117546715,0.0774165178031552
8,0.006232023239135742,-0.0009460719302072485,0.018963810384936695,1.0,0.0,1.569212093061427,0.0774165178031552
9,0.0064504146575927734,-0.0002029560922186058,0.004490088140180548,1.0,0.0,1.4961937181336578,0.0774165178031552
10,0.00661778450012207,-4.4502741647948995e-05,0.0010695918784816912,1.0,0.0,1.4304322798172635,0.0774165178031552
11,0.006784200668334961,-1.018300048356837e-05,0.0002627591160958354,1.0,0.0,1.3712362894137238,0.0774165178031552
12,0.006958484649658203,-2.465288932969922e-06,6.7673917878633e-05,1.0,0.0,1.3179572704593772,0.0774165178031552
13,0.007127046585083008,-6.372154737548146e-07,1.8472208326952032e-05,1.0,0.0,1.2700054766612865,0.0774165178031552
14,0.007338285446166992,-1.7682879558481659e-07,5.380608373469707e-06,1.0,0.0,1.2268486775209215,0.0774165178031552
15,0.00750732421875,-5.2841962925423086e-08,1.679119300003899e-06,1.0,0.0,1.1880075044885092,0.0774165178031552
16,0.007673501968383789,-1.7023362945621775e-08,5.624227400554735e-07,1.0,0.0,1.1530504319681452,0.0774165178031552
17,0.007852554321289062,-5.910330184986279e-09,2.022455694047972e-07,1.0,0.0,1.12158906107559,0.0774165178031552
