function,dimension,method,initial_value_mean,initial_value_std,final_value_mean,final_value_std,iterations_mean,iterations_std,runtime_mean,runtime_std,success_rate,best_so_far_mean,best_so_far_std,initial_distance_to_minimum_mean,initial_distance_to_minimum_std,final_distance_to_minimum_mean,final_distance_to_minimum_std,mean_distance_to_minimum,std_distance_to_minimum,improvements_mean,improvements_std,relative_improvements_mean,relative_improvements_std,step_sizes_mean,step_sizes_std,gradient_norm_mean,gradient_norm_std,cosine_similarity_mean,cosine_similarity_std,gradient_angle_mean,gradient_angle_std
rosenbrock,32,gradient_descent,136.59349512746093,24.915737405298394,,,1000.0,0.0,0.13394570350646973,0.003654003143310547,0.0,,,5.7351546793692165,0.02799248080657346,,,,,,,,,,,,,,,,
rosenbrock,32,sgd,136.59349512746093,24.915737405298394,,,1000.0,0.0,0.14472806453704834,0.00206601619720459,0.0,,,5.7351546793692165,0.02799248080657346,,,,,,,,,,,,,,,,
rosenbrock,32,sgd_momentum,136.59349512746093,24.915737405298394,,,1000.0,0.0,0.13957440853118896,0.0032085180282592773,0.0,,,5.7351546793692165,0.02799248080657346,,,,,,,,,,,,,,,,
rosenbrock,32,momentum,136.59349512746093,24.915737405298394,,,1000.0,0.0,0.13462185859680176,0.0010638236999511719,0.0,,,5.7351546793692165,0.02799248080657346,,,,,,,,,,,,,,,,
rosenbrock,32,rmsprop,136.59349512746093,24.915737405298394,17.003891141253877,0.031315332776635785,1000.0,0.0,0.1361910104751587,0.0023499727249145508,0.0,24.517392635859853,0.6664500597443386,5.7351546793692165,0.02799248080657346,4.184022342810678,0.005079318212381612,4.891716379035858,0.0060641529493157265,0.2006266796052273,0.019254095726031997,81.52512446606116,2.8820562872149083,0.05567762534448015,2.51076871545311e-06,23.532515825746344,2.1488098971531517,-0.8283263524958555,0.038094850366844735,153.8417614125311,2.9107273725774974
rosenbrock,32,adam,136.59349512746093,24.915737405298394,30.2149205073003,1.164172780593434,1000.0,0.0,0.1426403522491455,0.0023102760314941406,0.0,46.34043774789421,9.356206354091533,5.7351546793692165,0.02799248080657346,5.4570687236685735,0.0014671592061934469,5.57116730435672,0.01813094713066521,0.1488159082377447,0.014623061684595151,66.19898367104491,0.6840983784587209,0.001586184160176049,9.441924741770849e-05,64.23049278000339,32.2574595910687,0.9999954770964621,3.8052028470958454e-06,0.11631829457767008,0.056508165773343506
rosenbrock,32,BFGS,136.59349512746093,24.915737405298394,1.1834590928682563e-13,5.317585815152403e-14,169.0,1.0,0.04196631908416748,0.00041925907135009766,1.0,17.532802970721228,0.4481322377313699,5.7351546793692165,0.02799248080657346,1.6057195975032227e-07,1.4548010604599753e-07,3.7107511435084484,0.036470114073968496,10.91331721090582,0.09247441666841016,86.78437238148503,2.0825580555687964,0.10119810946369162,0.0015149588581861856,14.59801917831524,0.485145310072844,0.5524708552015634,0.004369040907268584,50.61064306108709,0.3101937555873313
rosenbrock,32,newton-cg,136.59349512746093,24.915737405298394,0.034368230192534904,0.010048409036034751,4721.0,142.0,130.31371104717255,3.290401339530945,1.0,10.244552708311808,0.31939992203970125,5.7351546793692165,0.02799248080657346,0.340956083044508,0.04753311397825874,2.8888325371542978,0.08310982714945814,0.16654176381787233,0.0013491949713365509,92.28595648399794,1.173270295369747,0.004167112217330956,0.00014364351051762096,3.151374052573103,0.10151744176980726,0.6070953207642533,0.002067663899920469,48.922206427083296,0.09398566989309032
rosenbrock,32,trust-exact,136.59349512746093,24.915737405298394,19.03767636627541,0.026392473968417818,6400.0,0.0,186.9922468662262,0.32392168045043945,0.0,23.457759402303452,0.05042094086379656,5.7351546793692165,0.02799248080657346,4.460719768119535,0.002489231175671236,4.920422765621307,0.004088627893729768,0.02634014779793835,0.0021063190965237445,82.24248470612193,3.2021985639821438,0.0033273291993244124,0.0001247334649385934,4.211623901984913,0.07701782189168682,0.9941085858494548,0.00014935940889415633,5.776405834386223,0.023876820807590793
rosenbrock,32,trust-krylov,136.59349512746093,24.915737405298394,19.39932064791742,0.004742694273186743,6400.0,0.0,168.56559026241302,0.23067891597747803,0.0,23.899107261193485,0.0019237115673238492,5.7351546793692165,0.02799248080657346,4.5003298959603235,0.00038356603403277845,4.96371153113034,0.0007866677958290325,0.023632779379699268,0.0022788916339097805,81.90102276682654,3.3028054138447516,0.00113190844309418,4.899631723468399e-05,3.381828336575949,0.011009176517497776,0.9978366730493576,3.915132978804525e-05,1.4553076077794627,0.004117974859746187
