iteration,timestamp,function_value,gradient_norm,gradient_cosine_similarity,gradient_angle,x1,x2
0,0.0001735687255859375,0.024043614341607095,1.9802787811022518,0.0,0.0,1.0349312222137887,4.809950758052414
1,0.0012059211730957031,0.026093328885162803,2.1203471090026955,1.0,0.0,1.034433706790049,4.808950758057464
2,0.0015044212341308594,0.02828944527807678,2.2678639524971618,1.0,0.0,1.033938703534392,4.807949561286863
3,0.0017075538635253906,0.03064175940269953,2.423146443688651,1.0,0.0,1.0334463575759347,4.806946388800267
4,0.0019621849060058594,0.03316074510815906,2.586521082281585,1.0,0.0,1.0329568091321726,4.805940479502166
5,0.002151012420654297,0.03585758397275538,2.7583221136089717,1.0,0.0,1.0324701931067388,4.804931092776742
6,0.002384185791015625,0.03874419278771904,2.938889531738621,1.0,0.0,1.0319866387204626,4.803917510871318
7,0.0025718212127685547,0.0418332482129014,3.1285666814466815,1.0,0.0,1.0315062691784282,4.802899041029437
8,0.002759218215942383,0.04513820798351276,3.3276974325083746,1.0,0.0,1.0310292013752638,4.801875017378767
9,0.0029845237731933594,0.048673327969361024,3.5366228998275178,1.0,0.0,1.030555545640391,4.800844802582446
10,0.003164052963256836,0.052453674305151986,3.7556776835487793,1.0,0.0,1.0300854055244586,4.79980778926514
11,0.003351449966430664,0.056495129723736534,3.9851856046287337,1.0,0.0,1.029618877627663,4.798763401227151
12,0.0035400390625,0.060814393135812404,4.225454913564912,1.0,0.0,1.0291560514701554,4.797711094461427
13,0.0037240982055664062,0.06542897141104918,4.476772953228216,1.0,0.0,1.0286970094042387,4.796650357989323
14,0.003957986831665039,0.07035716222981253,4.739400261204177,1.0,0.0,1.0282418265675901,4.795580714531671
15,0.004137277603149414,0.07561802679383482,5.013564102847578,1.0,0.0,1.0277905708763149,4.79450172103204
16,0.004315853118896484,0.08123135111170947,5.2994514335553005,1.0,0.0,1.0273433030562364,4.793412969049218
17,0.0045015811920166016,0.08721759451418654,5.59720129768071,1.0,0.0,1.0269000767104839,4.792314085035924
18,0.004685878753662109,0.09359782400893596,5.906896682168839,1.0,0.0,1.0264609384211316,4.791204730520568
19,0.004911899566650391,0.10039363305846694,6.2285558554460225,1.0,0.0,1.0260259278824004,4.79008460220868
20,0.005103111267089844,0.10762704336346893,6.562123236434262,1.0,0.0,1.0255950780627294,4.788953432020333
21,0.0052831172943115234,0.11532038826102023,6.907459854746371,1.0,0.0,1.0251684153928817,4.787810987079591
22,0.005471229553222656,0.12349617640875785,7.26433348114789,1.0,0.0,1.0247459599771556,4.78665706967169
