iteration,timestamp,function_value,gradient_norm,gradient_cosine_similarity,gradient_angle,step_size,improvement,best_so_far,relative_improvement,distance_to_minimum,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32
0,0.0001881122589111328,93.31341746569704,178.91216303375833,0.0,0.0,0.0,0.0,93.31341746569704,0.0,5.913676786713212,0.1223999334723911,-0.10984682863193128,-0.15744918862766707,-0.08829182921399924,0.06613792309811185,-0.023993612551485483,-0.17537674258413877,0.019714370374287433,-0.185341489191308,0.23169339233553748,-0.03560867397383424,-0.00927108811885957,0.006699640061148688,-0.1524479581060054,-0.13479204172231515,-0.11569152063408554,-0.024166808429646157,-0.008803719655429356,-0.22671822347789083,0.08026309886607115,-0.10127162875455825,0.0659496847649212,-0.08533367017735008,-0.07911118298304093,0.21515156404431213,0.10503525569035341,-0.25002446519499333,-0.16853062162856974,-0.18762377440846145,0.21336433564170354,-0.08246381688252719,0.07387731453190897
1,0.002554655075073242,71.28123828140829,139.47249261112728,0.9858183018337445,9.660872302769054,0.17888543709045246,23.610944473647642,71.28123828140829,23.610944473647642,5.821824274884798,0.09077715710025445,-0.07822405205912109,-0.12582641204905673,-0.05666905265630526,0.03451514659120358,0.007629163943931195,-0.1437539660085538,0.0513371466062139,-0.1537187126298067,0.20007061575549545,-0.0039858974219526555,0.02235168823903054,0.03832241274440613,-0.12082518152788418,-0.10316926514496616,-0.08406874406493137,0.007455968068403714,0.0228190567332082,-0.1950954468983333,0.04864032239968535,-0.0696488521994094,0.03432690824917409,-0.05371089361903862,-0.04748840645932061,0.1835287874710752,0.07341247913645442,-0.21840168860616002,-0.13690784504273168,-0.15600099783782434,0.1817415590622507,-0.05084104031998236,0.042254538004766334
2,0.002895832061767578,60.368179551998026,117.23392228137676,0.9934064085120455,6.5832078552008575,0.10675960725957138,15.309861321890969,60.368179551998026,35.30600293983448,5.796136507789288,0.0811482583068188,-0.059787287940251385,-0.106294981712348,-0.03790027650349875,0.022178871448259706,0.008543745703459067,-0.12391417482327838,0.02143872837187612,-0.1317866331791793,0.17960603773022546,0.011583465172319873,0.00693011756242274,0.006716030676985681,-0.10100262837795011,-0.08401840793543726,-0.06553373423007883,0.014126035897471086,0.0006339164225578724,-0.17332770365337813,0.04154667782290731,-0.05033789880404592,0.021900418633730764,-0.03651947594245401,-0.029059651566489517,0.1617401940431852,0.056405842665419245,-0.197813577361379,-0.11693704652585787,-0.1348729548799109,0.16137030549976292,-0.031941082311534086,0.025525461469006566
3,0.003136873245239258,53.5714034270105,101.66389632175736,0.9982349460140677,3.404713141188812,0.06969831489891366,11.25887210021487,53.5714034270105,42.589817325355284,5.7620942862717035,0.07872241860132326,-0.046342446902637766,-0.09148970441506496,-0.024771426665545992,0.01580752642206649,0.008352723032419357,-0.10756659611674434,0.019774838074164088,-0.1145816227139655,0.16349690490671226,0.02055571769079117,0.011701664236577564,0.008404771089013842,-0.08608924775440442,-0.06977252818870298,-0.051848885682018564,0.014154259073314595,0.010137477032932942,-0.1561718005205947,0.03585416123663409,-0.03627744677073507,0.015794535373322635,-0.024746832583809032,-0.016296350294601095,0.14443339413290857,0.04493389003064566,-0.1816345339636207,-0.10166674204759027,-0.11816035658027395,0.14550386716267066,-0.018599059702885196,0.015226310750719277
4,0.0032732486724853516,48.77521403542433,89.57554424568445,0.9988170467122847,2.7871750768087185,0.05529492895532076,8.952891066445263,48.77521403542433,47.729688441263455,5.737579993740024,0.08023970682770074,-0.035723068611432464,-0.0793566961099315,-0.015087797571763113,0.012597721797322556,0.008364929881085047,-0.09396199323864288,0.017156596861058998,-0.09995962486390483,0.14983651076596027,0.025552077958193555,0.009830585365348931,0.00859121848155024,-0.07388579451025967,-0.058335096089326216,-0.0409383189809591,0.013159595505641056,0.006717839215785689,-0.14161019215723875,0.03155524569363523,-0.025502301473104602,0.012693145511166258,-0.016063977022434547,-0.007104619830284556,0.12984368286114306,0.036610027859371244,-0.16795596790081577,-0.0891023336113846,-0.10404469329126127,0.1322023703025056,-0.008710113854586183,0.008772769788520936
5,0.003402233123779297,45.18866336480761,79.70458961657683,0.9990979338701386,2.433825689063215,0.04638423043715927,7.353223848514302,45.18866336480761,51.5732414564932,5.7155240910115275,0.08433901231068718,-0.026977143006008314,-0.06899849397796197,-0.007826597125642073,0.011079463680001202,0.008478539302986978,-0.08219277276959956,0.015344705159660195,-0.08715307492158686,0.1377822445428988,0.027825546265201815,0.011290279101879543,0.00873748741382437,-0.06351645011269554,-0.04879040898221934,-0.03195435252685227,0.012019524375317045,0.008384563413797085,-0.12880883243860158,0.02807541307498871,-0.01706333033179277,0.011139623793069275,-0.009459655680287471,-0.0005021545564343911,0.11714839240241304,0.030368860350313154,-0.15593056258667742,-0.07836012011599194,-0.09170982068937379,0.12060687190019934,-0.0013004193352653586,0.0048280001399529345
6,0.003525972366333008,42.40692501266239,71.36716819790323,0.9992763796893038,2.179812790233988,0.04023447454475051,6.15583233716889,42.40692501266239,54.55431151875709,5.697218385484764,0.09028437976178189,-0.01957632194115392,-0.05993544987078961,-0.0023844284381837394,0.010419789697893507,0.0086223165028566,-0.07180477726306182,0.013943302785699151,-0.07573277656166746,0.12688625635452216,0.028319227748129082,0.010540182478600939,0.008935856610672043,-0.054507054569055094,-0.04064393926417589,-0.024440957167671067,0.011253102448631414,0.007810676927553022,-0.11729816061785107,0.025179347898956712,-0.0104092737008857,0.0103955340428444,-0.004377876417167171,0.004125629663425394,0.10588822568582652,0.025609092493009408,-0.1450994491140648,-0.06896165475465546,-0.08071353399227962,0.11025468366808629,0.004202879735435441,0.0025265706902734674
7,0.003648042678833008,40.19564198767874,64.160745082186,0.9994073807101529,1.9726360792194517,0.035773805677552846,5.214438501078251,40.19564198767874,56.92404899600311,5.6809447453573725,0.09760545797877059,-0.013180609918767662,-0.05188014698879005,0.0016503525407953086,0.01016866284914629,0.008770221744395873,-0.0625181989993598,0.012861066952303503,-0.06543980348501449,0.11688734055764541,0.02762664314051362,0.011163176126358268,0.009056422948218583,-0.046569575712677024,-0.03359402024260274,-0.018117393177827516,0.010730707863908074,0.008315049878497037,-0.10680019391723951,0.022728082786326993,-0.005172818674861997,0.010071754230462252,-0.0004650548301735821,0.007241364991172179,0.09577706966183219,0.021943691540034817,-0.13518339744153204,-0.06061542035768855,-0.07078862218058468,0.10086729045749096,0.008195333194854298,0.0012664832187331432
8,0.0037848949432373047,38.40787997290921,57.8203755658209,0.999499990122667,1.811945036485056,0.032372349880789505,4.447651353143061,38.40787997290921,58.839917113711614,5.666992476680266,0.1059596177977257,-0.007546930011189363,-0.04464737196594037,0.004586116275278197,0.010097712547145995,0.008913526020923126,-0.0541500040891097,0.012021581236164472,-0.056106812339650765,0.10762216074656622,0.026256102042732703,0.010564625732596382,0.009209219068323088,-0.03951507993017001,-0.027440924127847054,-0.012788322703901109,0.01042198157229419,0.00823580242816553,-0.09712960340647953,0.02063662667913788,-0.0010841824446685341,0.009961050252195357,0.0025277545163065246,0.009226212343727096,0.08662336228302037,0.019103622271442994,-0.12599893731814077,-0.05312928134765681,-0.061761906812250016,0.09226517325821212,0.010981089654675863,0.0006316751783195819
9,0.003934621810913086,36.945865240890235,52.17003238350023,0.999563065615916,1.6937977666264887,0.029673165985905237,3.806548898429687,36.945865240890235,60.40669579541237,5.65450182979066,0.11507265898541719,-0.0024880555614444503,-0.03811162748542758,0.006667492501341523,0.010097954868453269,0.009049242429567395,-0.04657361196847708,0.011374691355498555,-0.04762076639479724,0.09898584937743626,0.024517709181493503,0.010991730750098084,0.00930749494269117,-0.033211999422755774,-0.022044230961509065,-0.008307885336652393,0.010233571976349517,0.008498253590431786,-0.08816062290335874,0.018845350298937927,0.0020693659691819475,0.009952803740617673,0.0047892780824041505,0.010399094708646169,0.07829233223601259,0.016893500424522895,-0.11741883019876094,-0.04636924415521265,-0.053515640961883916,0.08432752670729274,0.012809686304624512,0.0003465296057186796
10,0.004065752029418945,35.74131097654634,47.086125524183686,0.9995984966417981,1.6236662120468341,0.027444643697879634,3.260322248484641,35.74131097654634,61.69756510130474,5.643644124893091,0.12471428224047817,0.002147210704116358,-0.03218454121025364,0.008094291733760833,0.010120577853418385,0.009176421758708461,-0.03969779947542716,0.010882632658567301,-0.03990267416054816,0.09090819156205125,0.022672826128531276,0.010355807831134663,0.00943599772567313,-0.027564804476882115,-0.017300381518518117,-0.004559776977925902,0.010135847795975556,0.0085301438084496,-0.07980234020100349,0.017310989566460093,0.004463586801312017,0.009988276113544806,0.006470138389042573,0.011019067054881959,0.07068573546276459,0.01516806590062296,-0.10935127816236309,-0.04023774197880042,-0.04596691539858948,0.0769708515453638,0.01389246001338984,0.00023923731709526015
11,0.004198551177978516,34.744481703850795,42.48203918516062,0.9996088803335738,1.6025316414662931,0.025529408388169826,2.789011498066391,34.744481703850795,62.76582441466875,5.633753473048945,0.1346900478188536,0.006483820288164524,-0.026801695944587596,0.009030966690814834,0.010145500253035518,0.009294879583513832,-0.03345442516408599,0.010516160954125263,-0.032895559108222665,0.08334179203933714,0.020847395742872137,0.010912284899548482,0.009510206809337882,-0.022501108192677612,-0.01312981870102188,-0.001446807194412259,0.010086477473375792,0.008721918844087857,-0.07198873001053462,0.015999308909020543,0.006247422484133293,0.010036981110754248,0.007694292459107369,0.011285784066495835,0.06372995673992242,0.013818064203306016,-0.1017280696506725,-0.03466121726635324,-0.039055671209977105,0.07013649705760695,0.014409902352152643,0.00021057496774629493
12,0.00432133674621582,33.917785504581026,38.29477849640966,0.9995951104094442,1.6304992017233098,0.02384207021342178,2.3793597104605664,33.917785504581026,63.65175938706826,5.625138324433556,0.14484026957121404,0.010625340862757637,-0.02191436512238226,0.009611777602473974,0.010165745158077515,0.009404706737700842,-0.027790835098953734,0.010251572135238437,-0.026556758039260477,0.0762530901361782,0.01916255905261497,0.010009173199273235,0.009629767435883172,-0.01796441369127695,-0.009469125353674834,0.0011154509871882127,0.01007351264534967,0.008779534160046096,-0.06466983199844699,0.01488253087427301,0.007548064791664874,0.010084049105573105,0.008564983801178459,0.011343592689658719,0.0573684846853017,0.012760856482957238,-0.09449738868759985,-0.029582551041544426,-0.03273719513295518,0.06378284959593696,0.014515052051234085,0.00020866061238003977
