method,dimension,iteration,x,f_val,dist_to_min,step_size,grad_norm,grad_cosine_sim,rel_improvement_f,rel_improvement_dist,rel_improvement_grad
NewtonRaphson,2048,0,,2038.2663788456775,3.287632338625027,,1181.4206898875796,,,,
NewtonRaphson,2048,1,,537.5516394405204,9.963065997245968,11.02337082957999,450.24482184866565,-0.6822753721020042,0.7362701730158795,-2.0304684256186567,0.6188954318283443
NewtonRaphson,2048,2,,378.6984120531415,9.830200326699087,2.2133934915694446,226.9539034350697,-0.6077439010080102,0.2955124972787955,0.013335821581791007,0.49593222970734696
NewtonRaphson,2048,3,,400.45201153845846,9.906343872462301,1.4319239795325862,144.20883966542445,-0.7656905528552794,-0.057443070245207,-0.007745879354707182,0.3645897361413665
NewtonRaphson,2048,4,,404.59780126059195,10.073223333737142,2.096927957575643,104.14462901402682,-0.2702400441850229,-0.010352775370527348,-0.016845716585584373,0.2778207684379797
NewtonRaphson,2048,5,,397.66958737689856,10.040394795379376,0.7140281960277584,81.03524084512479,-0.9437551721065388,0.017123706214189453,0.0032589904214489875,0.22189707129101702
NewtonRaphson,2048,6,,399.2994757415436,10.031920413761723,0.3413009679788218,41.12363038953763,-0.9331896158625473,-0.004098599481534544,0.0008440287250011943,0.4925216490917396
NewtonRaphson,2048,7,,400.200926371901,10.035580924814354,0.11900130283243603,4.274360889004373,-0.9359522955382161,-0.002257580300308025,-0.00036488637286335085,0.8960607113594762
NewtonRaphson,2048,8,,400.22103774042625,10.03505060737163,0.010909225398421285,0.008255741788892391,-0.9685646891008881,-5.0253178341122104e-05,5.284372142451103e-05,0.9980685435780282
NewtonRaphson,2048,9,,400.22103782716295,10.035051659974467,2.102113508653912e-05,8.716980924216968e-09,0.9998988328281002,-2.1672196746173036e-10,-1.0489262865497382e-07,0.9999989441311095
