method,dimension,iteration,x,f_val,dist_to_min,step_size,grad_norm,grad_cosine_sim,rel_improvement_f,rel_improvement_dist,rel_improvement_grad
GradientDescent,128,0,,1376.8411613133117,4.273538331392724,,485.7794922966983,,,,
GradientDescent,128,1,,1141.842731368358,4.1496128577358515,0.4857794922966983,482.5585306342672,0.9792197525526855,0.1706794048202324,0.028998329732188455,0.006630501520767941
GradientDescent,128,2,,914.3001215070807,4.082476346629632,0.48255853063426724,459.40039704122535,0.9815684304750205,0.19927666359849358,0.01617898184912865,0.04799031023781335
GradientDescent,128,3,,713.5083292549182,4.075401473465469,0.4594003970412253,413.54905701900526,0.9814128332035581,0.21961256214336783,0.001732985708540416,0.09980692293155662
GradientDescent,128,4,,554.5036304317017,4.116017583263425,0.41354905701900524,356.87865366636197,0.9763409724946556,0.22284911374371383,-0.009966161631535915,0.13703429470046868
GradientDescent,128,5,,436.6579994313114,4.183583639770853,0.35687865366636196,308.1018455163671,0.9684929079424793,0.21252454363309237,-0.016415395498348917,0.13667617171520496
GradientDescent,128,6,,347.52728028542765,4.261322306118773,0.30810184551636716,275.29745368386017,0.9664908770348611,0.20412020222225305,-0.018581836301515418,0.10647255870060766
GradientDescent,128,7,,275.34592527548875,4.3410125424027175,0.27529745368386016,251.98816952598384,0.9710118652637321,0.20769982417108557,-0.018700823490755105,0.08466945061047938
GradientDescent,128,8,,214.77934631547168,4.419382532051488,0.25198816952598385,230.25593822370465,0.9746080241013634,0.2199654086016311,-0.018053389360951536,0.08624306189913516
GradientDescent,128,9,,164.63932578580375,4.493983111307657,0.23025593822370463,205.67508779261044,0.9780406134816555,0.23344898562090505,-0.01688031726494147,0.10675446905179373
GradientDescent,128,10,,125.26513550559844,4.562209758674728,0.20567508779261048,177.99488158902932,0.9761328641595458,0.23915422449816912,-0.015181776539257561,0.1345822019606578
GradientDescent,128,11,,95.871475055774,4.622450841425672,0.17799488158902932,154.89332137888354,0.9669415384833523,0.23465156790183456,-0.013204364976073281,0.12978777818726692
GradientDescent,128,12,,73.21297515227161,4.675361347039002,0.15489332137888354,139.6480615239738,0.9693348054442419,0.23634245629704378,-0.011446418237518957,0.09842425560504577
GradientDescent,128,13,,54.788829978337844,4.722766794310274,0.1396480615239738,123.80274478428127,0.9824222669572216,0.2516513655621071,-0.010139418913854593,0.11346607011062822
GradientDescent,128,14,,40.78015899075626,4.764927950217119,0.1238027447842813,101.09269033592878,0.9911067251785813,0.2556847991300465,-0.008927215283557761,0.1834374067224711
GradientDescent,128,15,,31.854499975496765,4.799984248588312,0.10109269033592876,74.31159190640967,0.9960999138608487,0.21887258991027228,-0.0073571518263136045,0.26491626981660205
GradientDescent,128,16,,27.21686099433964,4.826296850094499,0.07431159190640965,49.90959710941587,0.998787768527597,0.14558818957210146,-0.00548180996925679,0.3283740015652798
