iteration,timestamp,function_value,gradient_norm,gradient_cosine_similarity,gradient_angle,x1,x2
0,0.00012683868408203125,7.863630179487181,3.7867071217769888,0.0,0.0,0.3723344782482099,2.337447320530256
1,0.004079103469848633,7.863630179487181,3.7867071217769888,0.9999999999999999,8.537736462515939e-07,0.3723344782482099,2.337447320530256
2,0.005259037017822266,6.446460694663671,7.494093956585029,0.9580741798882694,16.64974395370185,0.2220831381307263,2.136874440118527
3,0.005945682525634766,4.967285113452043,2.966290736492061,0.7561558496794764,40.87353189486244,-0.00010468276514186137,2.01570756422523
4,0.006501674652099609,4.902545287512073,1.397283347230011,0.6989643125168846,45.65603040279391,0.018405808763735775,1.9781469351845578
5,0.007100820541381836,4.892301879175246,0.9299578947112053,0.9999916247139143,0.2344972525392384,0.012198972010556051,1.9719017217427655
6,0.007716655731201172,4.88774322475556,0.6197328788759373,0.9999832892617095,0.3312348730450778,0.00818513228075336,1.9675907311399476
7,0.008294343948364258,4.885707063398602,0.4131530615362797,0.999991935144789,0.23011037997137834,0.005484898807417193,1.964711258289567
8,0.008888006210327148,4.8847975378699395,0.2754753591755512,0.9999962278072104,0.1573746245651348,0.003670692236541995,1.96278683008016
9,0.009427070617675781,4.884391600614208,0.1836866924826341,0.9999982618080978,0.1068283582866586,0.00245396342666251,1.9615009639343748
10,0.009972810745239258,4.884210595178946,0.12248381404339535,0.9999992078487533,0.07211767447990951,0.0016392437600944404,1.9606421573071584
11,0.010504007339477539,4.884129951276098,0.08167318380417511,0.9999996418159424,0.048494308306765835,0.0010943887735849751,1.9600688250207956
12,0.011046886444091797,4.884094044153777,0.05446006900194209,0.9999998389220064,0.03252038974140311,0.0007303429368729511,1.9596862072129537
13,0.011627674102783203,4.88407806355718,0.0363140449372491,0.9999999278313859,0.021767663514427254,0.00048726271300839107,1.9594309308534903
14,0.012184858322143555,4.88407095359975,0.024214146684125276,0.999999967749383,0.014551462517562449,0.0003250264203594304,1.9592606463594462
15,0.012770652770996094,4.884067790990613,0.016145900437063754,0.9999999856105979,0.009719837524048433,0.00021678015417249925,1.9591470712096113
16,0.013518571853637695,4.884066384428486,0.010765998902373118,0.999999993586819,0.006488949265942285,0.00014457181363315924,1.9590713263920132
17,0.014251947402954102,4.8840657589271395,0.007178697670168143,0.9999999971446198,0.004329817572944954,9.641022280974786e-05,1.95902081419013
18,0.015056848526000977,4.88406548078429,0.004786703143966347,0.9999999987291062,0.0028886323239031035,6.429038791593269e-05,1.9589871303190851
19,0.015942096710205078,4.884065357107659,0.0031917361710417378,0.999999999434596,0.0019267130891997357,4.287044350946719e-05,1.9589646689719475
20,0.01664280891418457,4.884065302116351,0.0021282235556285903,0.9999999997485043,0.0012849993962208912,2.8586602325376523e-05,1.9589496913923112
21,0.01734185218811035,4.884065277665638,0.001419081544796752,0.9999999998881369,0.0008570003627124304,1.9061724461318653e-05,1.958939704229207
22,0.01809382438659668,4.884065266794298,0.0009462313970556491,0.9999999999502536,0.0005715030947660659,1.2710380538879322e-05,1.9589330447681133
23,0.018695592880249023,4.8840652619607,0.0006309388763619816,0.9999999999779298,0.0003806633842589665,8.475254092483991e-06,1.9589286042500555
24,0.019237518310546875,4.8840652598116066,0.0004207045164676134,0.9999999999901342,0.0002545090504107111,5.6512620567922265e-06,1.9589256433303208
25,0.01980447769165039,4.88406525885609,0.0002805220665710919,0.9999999999956269,0.00016944557142079865,3.768228144183415e-06,1.958923669005793
26,0.020341873168945312,4.884065258431253,0.00018704963459768495,0.9999999999980553,0.00011299525677708404,2.512628501767826e-06,1.958922352539482
27,0.020913124084472656,4.884065258242366,0.0001247230388543082,0.9999999999991356,7.533554680439728e-05,1.6754016569697193e-06,1.9589214747295542
28,0.021462440490722656,4.884065258158387,8.316421552250882e-05,0.9999999999996156,5.023498499984822e-05,1.117144396629293e-06,1.9589208894128645
