method,dimension,iteration,x,f_val,dist_to_min,step_size,grad_norm,grad_cosine_sim,rel_improvement_f,rel_improvement_dist,rel_improvement_grad
GradientDescent,128,0,,2.3658079649234165,2.8804664696241207,,0.7641096734488575,,,,
GradientDescent,128,1,,2.3652240652451053,2.8798336126811463,0.00076410967344887,0.7642041191580983,0.9999999773681657,0.00024680772360578525,0.00021970640854462292,-0.0001236022949617809
GradientDescent,128,2,,2.3646400212392966,2.879200685216541,0.0007642041191581122,0.7642985134530299,0.9999999773506357,0.00024692967334076607,0.00021977917815059668,-0.00012351974108124907
GradientDescent,128,3,,2.364055832966788,2.878567687266189,0.0007642985134530376,0.764392856240815,0.9999999773330838,0.00024705167266958543,0.00021985197266791002,-0.0001234370944395174
GradientDescent,128,4,,2.363471500488537,2.8779346188660253,0.0007643928562408202,0.7644871474286022,0.9999999773155099,0.0002471737215773616,0.0002199247920986335,-0.0001233543550511005
GradientDescent,128,5,,2.3628870238656856,2.8773014800520316,0.0007644871474286186,0.764581386923526,0.999999977297914,0.00024729582003866487,0.00021999763644499004,-0.0001232715229297042
GradientDescent,128,6,,2.3623024031595468,2.8766682708602422,0.0007645813869235356,0.7646755746327069,0.999999977280296,0.00024741796803404067,0.00022007050570796617,-0.0001231885980901138
GradientDescent,128,7,,2.3617176384315894,2.876034991326737,0.0007646755746327122,0.7647697104632519,0.9999999772626557,0.00024754016555001855,0.00022014339989086089,-0.00012310558054674125
GradientDescent,128,8,,2.361132729743471,2.8754016414876475,0.0007647697104632307,0.764863794322255,0.9999999772449938,0.0002476624125595651,0.0002202163189945021,-0.0001230224703147867
GradientDescent,128,9,,2.360547677157012,2.8747682213791528,0.0007648637943222614,0.7649578261167972,0.9999999772273099,0.0002477847090461385,0.00022028926302172227,-0.00012293926740965716
GradientDescent,128,10,,2.359962480734201,2.874134731037481,0.0007649578261167938,0.7650518057539466,0.9999999772096038,0.0002479070549916635,0.00022036223197427135,-0.00012285597184682096
GradientDescent,128,11,,2.359377140537213,2.873501170498911,0.000765051805753934,0.7651457331407587,0.9999999771918752,0.0002480294503690024,0.00022043522585358795,-0.00012277258364166275
GradientDescent,128,12,,2.3587916566283735,2.8728675397997687,0.0007651457331407486,0.7652396081842775,0.9999999771741245,0.00024815189516753944,0.00022050824466249904,-0.0001226891028110793
GradientDescent,128,13,,2.3582060290702036,2.8722338389764306,0.0007652396081842636,0.7653334307915344,0.9999999771563516,0.0002482743893570578,0.00022058128840228463,-0.0001226055293707218
GradientDescent,128,14,,2.357620257925373,2.8716000680653195,0.0007653334307915158,0.7654272008695493,0.9999999771385564,0.00024839693292688013,0.00022065435707592265,-0.0001225218633373177
GradientDescent,128,15,,2.3570343432567396,2.87096622710291,0.0007654272008695547,0.7655209183253309,0.9999999771207392,0.0002485195258497318,0.00022072745068453428,-0.0001224381047277995
